"id","title","content","pub_date","source_url","category"
44,"Southwest says flights resumed after delays caused by 'tech issues'","• Delta Air Lines reports record bookings for summer travel
• Air France and Airbus acquitted in trial over 2009 plane crash","2023-04-18 17:15:29","https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html",NULL
45,"Damar Hamlin cleared to resume football activities after January cardiac arrest","Buffalo Bills safety Damar Hamlin, who has been cleared to resume football activities, said Tuesday his cardiac arrest during an NFL game in January was caused by commotio cordis.","2023-04-18 22:11:37","https://www.cnn.com/2023/04/18/sport/damar-hamlin-cleared-to-train-nfl-spt-intl/index.html",NULL
46,"Pilot makes history after landing on top of a 56-story hotel","Polish pilot Lukasz Czepiela made history after landing a plane on a helipad at the top of a 56-story hotel in Dubai.","2023-03-19 11:22:30","https://www.cnn.com/videos/travel/2023/03/17/pilot-lands-on-dubai-helipad-cprog-orig-aw-ao.cnn",NULL
47,"Top US Navy admiral defends non-binary sailor amid some Republican criticism","The top US Navy admiral ardently defended a non-binary sailor on Tuesday amid some criticism from Republican lawmakers, saying he is ""particularly proud of this sailor.""","2023-04-18 19:56:40","https://www.cnn.com/2023/04/18/politics/gilday-defends-non-binary-sailor/index.html",NULL
48,"Fulton County DA says fake Trump electors are incriminating one another and wants lawyer disqualified","The Fulton County District Attorney's office said some fake electors for Donald Trump have implicated each other in potential criminal activity and is seeking to disqualify their lawyer, according to a new court filing.","2023-04-19 15:31:24","https://www.cnn.com/2023/04/18/politics/fulton-county-trump-fake-electors/index.html",NULL
49,"High speed trains are racing across the world. But not in America","High speed trains have proved their worth across the world over the past 50 years.","2023-04-19 02:39:40","https://www.cnn.com/travel/article/high-speed-rail-us/index.html",NULL
50,"Podcast: One country musician is calling for other artists to oppose assault rifles","",NULL,"https://www.cnn.com/audio/podcasts/the-assignment/episodes/42a2f0e2-066a-4675-82ff-afe2016a0bb5",NULL
51,"Here's what you need to know if you haven't filed your return yet — and even if you have","It's April 18, the official deadline to file your federal and state income tax returns for 2022. (It is also, apparently, National Animal Crackers Day for those who celebrate.)","2023-04-18 14:15:43","https://www.cnn.com/2023/04/18/success/tax-day-2023-file-irs/index.html",NULL
52,"Undocumented immigrants are paying their taxes today, too","It's a surprising fact that's often overlooked in the immigration debate.","2023-04-18 18:29:24","https://www.cnn.com/2023/04/18/us/undocumented-immigrants-taxes-cec/index.html",NULL
53,"Opinion: Why millionaires like us want to pay more in taxes","Tuesday is Tax Day in America, one of the most stressful days of the year, when many taxpayers will finally end their procrastination, file their federal returns, and hope for a refund from the IRS. But for many of the nation's wealthiest, it's just another Tuesday.","2023-04-17 19:32:49","https://www.cnn.com/2023/04/17/opinions/us-tax-system-wealthy-disney-pearl/index.html",NULL
412,"A head-to-toe guide of how men should dress this spring, and where they should shop","",NULL,"https://www.cnn.com/cnn-underscored/fashion/mens-spring-fashion-style-guide?iid=CNNUnderscoredHPcontainer",NULL
55,"Artist rejects photo prize after AI-generated image wins award","A German artist has rejected an award from a prestigious international photography competition after revealing that his submission was generated by Artificial Intelligence (AI).","2023-04-18 15:27:54","https://www.cnn.com/style/article/ai-photo-win-sony-scli-intl/index.html",NULL
56,"These ships disappeared in Lake Superior a century ago. Watch as they're found again","The Great Lakes Shipwreck Historical Society has found two of three ships that sank in the same Lake Superior storm more than a century ago, locating one in 2021 and the other in 2022.","2023-04-18 19:29:01","https://www.cnn.com/videos/travel/2023/04/18/century-old-shipwrecks-lake-superior-discovery-contd-orig-zt.cnn",NULL
57,"Erotic images of seniors show sex and intimacy in new light","What does intimacy look like for seniors? There's no end to sex scenes and other steamy content featuring the young and unwrinkled, but past a certain age, popular culture largely draws a blank — or treats sex as a punchline.","2023-04-18 03:24:57","https://www.cnn.com/style/article/marilyn-minter-artist-elder-sex/index.html",NULL
58,"China's economy is off to a solid start, rising 4.5% in Q1 2023","China's economy is off to a solid start in 2023 following its emergence from three years of strict pandemic restrictions.","2023-04-18 07:01:12","https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html",NULL
59,"Even when wives make as much as husbands, they still do more at home","• Four out of the five US metro areas with the lowest unemployment are in Florida. Here's why
• Opinion: The overlooked problem with raising the retirement age for Social Security","2023-04-16 17:29:49","https://www.cnn.com/2023/04/16/success/husbands-wives-earning-division-of-labor-pew-survey/index.html",NULL
60,"McDonald's is upgrading its burgers","McDonald's, which has been focusing on upgrading its core items to boost sales, is rolling out a series of changes designed to improve its signature burgers.","2023-04-17 16:31:30","https://www.cnn.com/2023/04/17/business/mcdonalds-burgers/index.html",NULL
61,"Google-parent stock drops on fears it could lose search market share to AI-powered rivals","Shares of Google-parent Alphabet fell more than 3% in early trading Monday after a report sparked concerns that its core search engine could lose market share to AI-powered rivals, including Microsoft's Bing.","2023-04-17 15:52:19","https://www.cnn.com/2023/04/17/tech/google-ai-search-engine-stock-drop/index.html",NULL
62,"Bidets save you money and reduce waste — we tested the best options out there","",NULL,"https://www.cnn.com/cnn-underscored/reviews/best-bidets?iid=CNNUnderscoredHPcontainer",NULL
63,"50+ products to make your life easier and our planet cleaner","",NULL,"https://www.cnn.com/cnn-underscored/home/editors-favorite-sustainable-products?iid=CNNUnderscoredHPcontainer",NULL
64,"Mother's Day is around the corner. Here are 50+ thoughtful gifts she'll love","",NULL,"https://www.cnn.com/cnn-underscored/gifts/best-mothers-day-gifts-2023?iid=CNNUnderscoredHPcontainer",NULL
65,"A head-to-toe guide of how men should dress this spring, and where they should shop","",NULL,"https://www.cnn.com/cnn-underscored/fashion/mens-spring-fashion-style-guide?iid=CNNUnderscoredHPcontainer",NULL
66,"42 of the most useful travel products you can buy on Amazon","",NULL,"https://www.cnn.com/cnn-underscored/travel/amazon-travel-products?iid=CNNUnderscoredHPcontainer",NULL
67,"The 7 best high-yield savings accounts of April 2023","",NULL,"https://www.cnn.com/cnn-underscored/money/high-yield-savings-accounts?iid=CNNUnderscoredHPcontainer",NULL
68,"Taxes are due tomorrow. Here's how to file for an extension","",NULL,"https://www.cnn.com/cnn-underscored/money/how-to-file-taxes?iid=CNNUnderscoredHPcontainer",NULL
69,"Composting is an easy way to reduce food waste. Here's how to do it","",NULL,"https://www.cnn.com/cnn-underscored/home/how-to-compost-at-home?iid=CNNUnderscoredHPcontainer",NULL
70,"We stopped using aluminum foil for cooking and you should too. Here's what to use instead","",NULL,"https://www.cnn.com/cnn-underscored/reviews/mmmat-silicone-mats?iid=CNNUnderscoredHPcontainer",NULL
71,"The beloved Dyson Supersonic hair dryer is at its lowest price ever","",NULL,"https://www.cnn.com/cnn-underscored/deals/dyson-supersonic-sale-2023-04-17?iid=CNNUnderscoredHPcontainer?iid=CNNUnderscoredHPcontainer",NULL
72,"Everything you need to know about Way Day 2023, Wayfair's biggest sale of the year","",NULL,"https://www.cnn.com/cnn-underscored/deals/wayfair-way-day-2023-04-17?iid=CNNUnderscoredHPcontainer",NULL
73,"The 10 best Amazon deals to shop this week","",NULL,"https://www.cnn.com/cnn-underscored/deals/best-amazon-deals-2023-04-12?iid=CNNUnderscoredHPcontainer",NULL
74,"Mifepristone saved my life","The ruling earlier this month by a Texas federal judge to suspend the US Food and Drug Administration's approval of a drug that is used frequently for medication abortions, is very personal for me.","2023-04-18 11:30:00","https://www.cnn.com/2023/04/18/opinions/medication-abortion-mifepristone-miscarriage-jones-ctpr/index.html",NULL
75,"The 2024 presidential alternative many voters will want","",NULL,"https://www.cnn.com/2023/04/18/opinions/2024-presidential-election-alternative-voters-lieberman",NULL
76,"Why isn't the House Judiciary Committee looking into Thomas?","On Monday, the GOP-controlled House Judiciary Committee — chaired by Donald Trump ally Rep. Jim Jordan — is set to hold a field hearing in New York City called ""Victims of Violent Crime in Manhattan."" A statement bills the hearing as an examination of how, the Judiciary Committee says, Manhattan District Attorney Alvin Bragg's policies have ""led to an increase in violent crime and a dangerous community for New York City residents.""","2023-04-17 11:37:37","https://www.cnn.com/2023/04/17/opinions/jim-jordan-clarence-thomas-judiciary-committee-obeidallah/index.html",NULL
77,"Top secrets come spilling out","In 1917, British analysts deciphered a coded message the German foreign minister sent to one of his country's diplomats vowing to begin ""unrestricted submarine warfare"" and seeking to win over Mexico with a promise to ""reconquer the lost territory in Texas, New Mexico and Arizona"" if the US entered the world war. When it became public, the Zimmerman Telegram caused a sensation, helping propel the US into the conflict against Germany.","2023-04-16 11:22:36","https://www.cnn.com/2023/04/16/opinions/top-secrets-come-spilling-out-opinion-column-galant/index.html",NULL
78,"How did Sudan go from casting off despotic rule to this?","Four years ago, almost to the day, the people of Sudan were celebrating a revolution after overthrowing longtime dictator Omar al-Bashir. Now the East African country faces the possibility of a complete collapse similar to the chaos we see today in Yemen or Libya.","2023-04-17 22:45:23","https://www.cnn.com/2023/04/17/opinions/sudan-revolution-to-civil-war-lynch/index.html",NULL
79,"Michelle Yeoh set to return in new 'Star Trek' movie","Live long and prosper, Michelle Yeoh.","2023-04-18 19:11:23","https://www.cnn.com/2023/04/18/entertainment/michelle-yeoh-star-trek-section-31/index.html",NULL
80,"Recap: 'Succession' finds dark humor in the aftershocks","After the shock came the aftershocks, the power vacuum, and perhaps most significantly and impressively, the laughs, as ""Succession"" pivoted to face life after Logan Roy, in an episode that finally put the HBO show's title into full flower.","2023-04-17 02:28:12","https://www.cnn.com/2023/04/16/entertainment/succession-season-4-episode-4-recap/index.html",NULL
81,"'Yellowjackets' leans hard into '90s music nostalgia, and we're here for it","Of the many dark gifts Showtime's eerie hit series ""Yellowjackets"" serves up for us, the juiciest this season is by far the music.","2023-05-01 23:02:04","https://www.cnn.com/2023/04/14/entertainment/yellowjackets-90s-music/index.html",NULL
82,"Jeremy Renner revisits 'the amazing group of people' who helped him recover from his accident","Jeremy Renner is continuing his recovery after his devastating snowplow accident in January, and recognizing those who've helped him along the way.","2023-04-16 19:04:10","https://www.cnn.com/2023/04/16/entertainment/jeremy-renner-update/index.html",NULL
83,"Review: 'Barry' takes a whack at its farewell season","""Barry"" has taken chances from the very beginning, which is certainly true of a fourth and final season that picks up where the third left off, with its hitman-turned-wannabe actor getting arrested. That paves the way for an even darker season that accentuates the show's ensemble aspect while leaning a little too heavily on blurring lines with flights of fancy.","2023-04-14 12:33:08","https://www.cnn.com/2023/04/14/entertainment/barry-season-4-review/index.html",NULL
84,"How much a 30-second Super Bowl ad costs this year","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/5b20657676434be1b669f2ec379f0eec.jpg"" /><p>At least 110 million people are expected to tune in to next weekend’s Super Bowl 2024, taking place Sunday (Feb. 11) in Las Vegas. Last year’s game was the most watched telecast in US history at <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://www.cnn.com/2023/05/03/sport/super-bowl-lvii-most-watched-us-telecast-ever-spt-intl/index.html"" rel=""noopener noreferrer"" target=""_blank"">115.1 million viewers</a>, over a third of the US population.</p><p><a href=""https://qz.com/super-bowl-2024-ads-cost-1851221967"">Read more...</a></p>","2024-02-04 10:00:00","https://qz.com/super-bowl-2024-ads-cost-1851221967",NULL
85,"AI startups are resurrecting San Francisco's commercial real estate","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/a12043f824af3c8eb5df3e5154178771.jpg"" /><p>It’s no secret that like the rest of the country, San Francisco’s commercial real estate has been struggling. Vacancy rates increased as companies fled the Bay Area since the pandemic, and workers have been less likely than those in other cities <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/new-york-san-francisco-return-to-office-1851201948"" rel=""noopener noreferrer"" target=""_blank"">to be back in the office</a>.<br /></p><p><a href=""https://qz.com/ai-san-francisco-commercial-real-estate-boom-1851222088"">Read more...</a></p>","2024-02-04 10:00:00","https://qz.com/ai-san-francisco-commercial-real-estate-boom-1851222088",NULL
